actor_loss,adjusted_no_steps,buffer_size,critic_loss,episode_num,episode_reward,eplenmean,eprewmean,fps,nupdates,sampling_loop,total_timesteps
-118.90167822265624,250,105600,45.102758895874025,678,497.92616991838963,200.0,497.92617,62,105600,240,105600
-119.23139227294922,250,106000,46.07420885467529,680,645.3074784772527,200.0,645.307478,62,106000,241,106000
-120.21049871826172,250,106400,45.52496315765381,682,502.8478250140981,200.0,502.847825,62,106400,242,106400
-121.19945239257812,250,106800,44.78834554290771,684,532.3169817251965,200.0,532.316982,62,106800,243,106800
-121.41039630126953,250,107200,47.72835037994385,686,403.6605454875639,200.0,403.660545,62,107200,244,107200
-121.09458489990234,250,107600,45.16844137573242,688,696.7656389906647,200.0,696.765639,62,107600,245,107600
-122.62721691894531,250,108000,44.81476953125,690,635.1358745956671,200.0,635.135875,62,108000,246,108000
-122.46965557861328,250,108400,45.18383421325684,692,472.7000697877038,200.0,472.70007,62,108400,247,108400
-123.07324493408203,250,108800,45.57471435546875,694,631.8105179127167,200.0,631.810518,62,108800,248,108800
-123.44638580322265,250,109200,47.11945295715332,696,598.4086016776857,200.0,598.408602,62,109200,249,109200
-124.33530004882813,250,109600,45.08016693115234,698,377.30997723403686,200.0,377.309977,62,109600,250,109600
-124.93725903320312,250,110000,46.10066079711914,700,575.895907806085,200.0,575.895908,62,110000,251,110000
-125.34960284423828,250,110400,43.25585888671875,702,467.68727012710764,200.0,467.68727,61,110400,252,110400
-125.47063989257812,250,110800,44.35134851837158,704,490.20782887415044,200.0,490.207829,61,110800,253,110800
-125.22799029541015,250,111200,44.375770652770996,706,335.6560674613033,200.0,335.656067,61,111200,254,111200
-126.17251293945313,250,111600,45.136822212219236,708,624.9444490337481,200.0,624.944449,61,111600,255,111600
-127.185759765625,250,112000,47.25584108734131,710,637.9544659268212,200.0,637.954466,61,112000,256,112000
-127.23863842773437,250,112400,42.600145988464355,712,328.0208381259864,200.0,328.020838,61,112400,257,112400
-128.5995390625,250,112800,43.42958000946045,714,633.7391003829501,200.0,633.7391,61,112800,258,112800
-129.17912823486327,250,113200,42.85023056793213,716,478.77985278343544,200.0,478.779853,61,113200,259,113200
-128.82113690185548,250,113600,42.4904969329834,718,691.9827331994455,200.0,691.982733,61,113600,260,113600
-129.72166674804689,250,114000,44.7325973739624,720,685.6636840884195,200.0,685.663684,61,114000,261,114000
-129.2949139404297,250,114400,42.72584385681152,722,418.0250910223147,200.0,418.025091,61,114400,262,114400
-129.66395733642577,250,114800,44.74948485565186,724,445.35996395044896,200.0,445.359964,61,114800,263,114800
-130.3414827270508,250,115200,44.6099764175415,726,501.88460040045635,200.0,501.8846,61,115200,264,115200
